Timestamp,Gmtoffset,Datetime,Open,High,Low,Close,Volume
1704205800,0,2024-01-02 14:30:00,277.4155,277.6767,277.3743,277.6451,11881
1704206100,0,2024-01-02 14:35:00,277.6451,277.9947,277.6148,277.9742,24900
1704206400,0,2024-01-02 14:40:00,277.9742,277.992,277.3621,277.3801,10677
1704206700,0,2024-01-02 14:45:00,277.3801,277.4097,277.3458,277.3878,5950
1704207000,0,2024-01-02 14:50:00,277.3878,277.6498,277.3854,277.6087,1298
1704207300,0,2024-01-02 14:55:00,277.6087,277.6659,277.4171,277.4791,31689
1704207600,0,2024-01-02 15:00:00,277.4791,277.5395,277.3463,277.4022,29093
1704207900,0,2024-01-02 15:05:00,277.4022,277.6445,277.385,277.5926,21963
1704208200,0,2024-01-02 15:10:00,277.5926,277.9475,277.5826,277.8787,26708
1704208500,0,2024-01-02 15:15:00,277.8787,278.1442,277.868,278.1223,15251
1704208800,0,2024-01-02 15:20:00,278.1223,278.1639,277.5718,277.6061,13582
1704209100,0,2024-01-02 15:25:00,277.6061,277.8279,277.5545,277.7924,34983
1704209400,0,2024-01-02 15:30:00,277.7924,277.9405,277.7529,277.8976,30635
1704209700,0,2024-01-02 15:35:00,277.8976,278.275,277.8424,278.235,11187
1704210000,0,2024-01-02 15:40:00,278.235,278.2559,277.9904,278.0592,5527
1704210300,0,2024-01-02 15:45:00,278.0592,278.2147,278.0446,278.2114,13973
1704210600,0,2024-01-02 15:50:00,278.2114,278.2217,278.1645,278.1718,30130
1704210900,0,2024-01-02 15:55:00,278.1718,278.5108,278.1582,278.5045,1228
1704211200,0,2024-01-02 16:00:00,278.5045,278.5688,277.975,277.979,11336
1704211500,0,2024-01-02 16:05:00,277.979,278.1499,277.9496,278.1369,43964
1704211800,0,2024-01-02 16:10:00,278.1369,278.1804,277.7832,277.8246,4232
1704212100,0,2024-01-02 16:15:00,277.8246,278.3249,277.7761,278.3076,14493
1704212400,0,2024-01-02 16:20:00,278.3076,278.4113,278.2346,278.4107,17477
1704212700,0,2024-01-02 16:25:00,278.4107,278.5672,278.4056,278.5453,24363
1704213000,0,2024-01-02 16:30:00,278.5453,278.687,278.5062,278.6673,39682
1704213300,0,2024-01-02 16:35:00,278.6673,278.6772,278.296,278.2961,9944
1704213600,0,2024-01-02 16:40:00,278.2961,278.4898,278.2236,278.4517,20876
1704213900,0,2024-01-02 16:45:00,278.4517,278.6148,278.4266,278.6004,46385
1704214200,0,2024-01-02 16:50:00,278.6004,278.6671,278.5341,278.5489,1172
1704214500,0,2024-01-02 16:55:00,278.5489,279.0009,278.5019,278.9615,30137
1704214800,0,2024-01-02 17:00:00,278.9615,279.0796,278.942,279.0498,30685
1704215100,0,2024-01-02 17:05:00,279.0498,279.0896,278.6764,278.7367,16371
1704215400,0,2024-01-02 17:10:00,278.7367,278.9963,278.6717,278.9094,12912
1704215700,0,2024-01-02 17:15:00,278.9094,278.9208,278.5101,278.5481,18507
1704216000,0,2024-01-02 17:20:00,278.5481,279.6276,278.4576,279.5555,36948
1704216300,0,2024-01-02 17:25:00,279.5555,279.5772,279.3069,279.3583,25283
1704216600,0,2024-01-02 17:30:00,279.3583,279.393,279.152,279.1527,18534
1704216900,0,2024-01-02 17:35:00,279.1527,279.1709,278.995,279.0367,33813
1704217200,0,2024-01-02 17:40:00,279.0367,279.1896,279.031,279.0686,43650
1704217500,0,2024-01-02 17:45:00,279.0686,279.3189,279.0378,279.2879,4875
1704217800,0,2024-01-02 17:50:00,279.2879,279.33,279.0953,279.1484,20580
1704218100,0,2024-01-02 17:55:00,279.1484,279.246,278.7886,278.8517,34782
1704218400,0,2024-01-02 18:00:00,278.8517,279.3517,278.8485,279.3183,16840
1704218700,0,2024-01-02 18:05:00,279.3183,279.3419,278.7697,278.8552,28289
1704219000,0,2024-01-02 18:10:00,278.8552,279.6951,278.8088,279.6577,30796
1704219300,0,2024-01-02 18:15:00,279.6577,279.688,279.4903,279.584,12309
1704219600,0,2024-01-02 18:20:00,279.584,279.8751,279.5734,279.7587,34512
1704219900,0,2024-01-02 18:25:00,279.7587,279.7587,279.6911,279.7545,48194
1704220200,0,2024-01-02 18:30:00,279.7545,280.1765,279.701,280.122,11734
1704220500,0,2024-01-02 18:35:00,280.122,280.1699,279.2206,279.2521,46191
1704220800,0,2024-01-02 18:40:00,279.2521,279.6791,279.2512,279.6754,31361
1704221100,0,2024-01-02 18:45:00,279.6754,280.5354,279.6425,280.4999,4293
1704221400,0,2024-01-02 18:50:00,280.4999,280.5069,279.9186,279.9335,21998
1704221700,0,2024-01-02 18:55:00,279.9335,279.9724,279.7281,279.7371,28185
1704222000,0,2024-01-02 19:00:00,279.7371,279.7532,279.6986,279.7284,45957
1704222300,0,2024-01-02 19:05:00,279.7284,279.8597,279.636,279.8091,22648
1704222600,0,2024-01-02 19:10:00,279.8091,280.3425,279.7205,280.3175,20544
1704222900,0,2024-01-02 19:15:00,280.3175,280.4846,279.7692,279.7819,46397
1704223200,0,2024-01-02 19:20:00,279.7819,279.857,279.7068,279.856,26347
1704223500,0,2024-01-02 19:25:00,279.856,279.9892,279.8088,279.9787,2797
1704223800,0,2024-01-02 19:30:00,279.9787,280.3012,279.9747,280.2785,31607
1704224100,0,2024-01-02 19:35:00,280.2785,280.4165,279.9489,280.0102,34747
1704224400,0,2024-01-02 19:40:00,280.0102,280.5954,279.9097,280.5621,15494
1704224700,0,2024-01-02 19:45:00,280.5621,280.6434,279.8407,279.857,26500
1704225000,0,2024-01-02 19:50:00,279.857,280.5738,279.841,280.5566,31682
1704225300,0,2024-01-02 19:55:00,280.5566,280.5805,280.3795,280.4354,7873
1704225600,0,2024-01-02 20:00:00,280.4354,280.5224,280.2247,280.2367,36512
1704225900,0,2024-01-02 20:05:00,280.2367,281.0324,280.1576,281.0132,37700
1704226200,0,2024-01-02 20:10:00,281.0132,281.0843,280.0254,280.0725,41862
1704226500,0,2024-01-02 20:15:00,280.0725,280.7664,280.0407,280.7265,42543
1704226800,0,2024-01-02 20:20:00,280.7265,280.7476,280.6464,280.6543,17072
1704227100,0,2024-01-02 20:25:00,280.6543,281.0688,280.6494,280.9488,44462
1704227400,0,2024-01-02 20:30:00,280.9488,280.995,280.6587,280.6748,11945
1704227700,0,2024-01-02 20:35:00,280.6748,280.9488,280.58,280.9323,16575
1704228000,0,2024-01-02 20:40:00,280.9323,280.9857,280.3692,280.3816,15587
1704228300,0,2024-01-02 20:45:00,280.3816,280.8221,280.3447,280.7664,2609
1704228600,0,2024-01-02 20:50:00,280.7664,280.863,280.731,280.8504,10380
1704228900,0,2024-01-02 20:55:00,280.8504,281.276,280.8351,281.2413,13704
1704292200,0,2024-01-03 14:30:00,280.2773,280.3552,280.2158,280.3164,46149
1704292500,0,2024-01-03 14:35:00,280.3164,280.329,280.1896,280.2569,20345
1704292800,0,2024-01-03 14:40:00,280.2569,280.3373,280.2568,280.2803,44163
1704293100,0,2024-01-03 14:45:00,280.2803,280.3106,280.1462,280.2518,18388
1704293400,0,2024-01-03 14:50:00,280.2518,280.2745,280.1399,280.254,37912
1704293700,0,2024-01-03 14:55:00,280.254,280.353,280.2005,280.2813,29775
1704294000,0,2024-01-03 15:00:00,280.2813,280.3415,280.1618,280.2244,29136
1704294300,0,2024-01-03 15:05:00,280.2244,280.3959,280.2072,280.3513,17827
1704294600,0,2024-01-03 15:10:00,280.3513,280.3624,280.2306,280.2394,20002
1704294900,0,2024-01-03 15:15:00,280.2394,280.3065,280.1788,280.2956,14156
1704295200,0,2024-01-03 15:20:00,280.2956,280.3559,280.1363,280.2309,43289
1704295500,0,2024-01-03 15:25:00,280.2309,280.4009,280.1807,280.3426,31022
1704295800,0,2024-01-03 15:30:00,280.3426,280.3996,280.3315,280.3532,33468
1704296100,0,2024-01-03 15:35:00,280.3532,280.3647,280.2707,280.2717,36435
1704296400,0,2024-01-03 15:40:00,280.2717,280.4015,280.2397,280.3342,2530
1704296700,0,2024-01-03 15:45:00,280.3342,280.3747,280.3116,280.3401,49405
1704297000,0,2024-01-03 15:50:00,280.3401,280.3539,280.2307,280.2843,40439
1704297300,0,2024-01-03 15:55:00,280.2843,280.356,280.2255,280.3072,26713
1704297600,0,2024-01-03 16:00:00,280.3072,280.3745,280.2736,280.2917,18872
1704297900,0,2024-01-03 16:05:00,280.2917,280.3304,280.2739,280.3111,26580
1704298200,0,2024-01-03 16:10:00,280.3111,280.4367,280.2215,280.2523,13968
1704298500,0,2024-01-03 16:15:00,280.2523,280.2955,280.2177,280.2748,28034
1704298800,0,2024-01-03 16:20:00,280.2748,280.3052,280.1904,280.2473,8363
