symbol,direction,entry_date,entry_time,exit_date,exit_time,entry_price,exit_price,quantity,gross_pnl,commission,pnl,exit_reason
DEMO.US,long,2019-09-20,09:30:00,2019-10-16,09:30:00,154.21,137.07,648.0,-11106.72000000001,0.0,-11106.72000000001,fast_below_slow
DEMO.US,long,2019-11-12,09:30:00,2020-02-07,09:30:00,153.28,140.17000000000002,578.0,-7577.579999999992,0.0,-7577.579999999992,fast_below_slow
DEMO.US,long,2020-05-25,09:30:00,2021-02-17,09:30:00,156.99,195.73000000000002,517.0,20028.580000000005,0.0,20028.580000000005,fast_below_slow
DEMO.US,long,2021-03-22,09:30:00,2021-04-05,09:30:00,214.48000000000002,202.75,471.0,-5524.830000000009,0.0,-5524.830000000009,fast_below_slow
DEMO.US,long,2021-05-28,09:30:00,2021-11-11,09:30:00,216.8,229.93,441.0,5790.329999999998,0.0,5790.329999999998,fast_below_slow
DEMO.US,long,2022-01-25,09:30:00,2022-05-25,09:30:00,239.4,260.75,424.0,9052.399999999998,0.0,9052.399999999998,fast_below_slow
DEMO.US,long,2022-08-05,09:30:00,2023-02-23,09:30:00,268.81,322.11,411.0,21906.300000000003,0.0,21906.300000000003,fast_below_slow
DEMO.US,long,2023-06-16,09:30:00,2023-06-29,09:30:00,300.09000000000003,283.41,441.0,-7355.880000000003,0.0,-7355.880000000003,fast_below_slow
DEMO.US,long,2023-08-14,09:30:00,2023-09-20,09:30:00,299.12,281.09000000000003,418.0,-7536.539999999988,0.0,-7536.539999999988,fast_below_slow
DEMO.US,long,2023-10-16,09:30:00,2023-12-13,09:30:00,306.0,279.76,384.0,-10076.160000000003,0.0,-10076.160000000003,fast_below_slow
DEMO.US,long,2024-02-28,09:30:00,2024-04-25,09:30:00,303.87,286.1,353.0,-6272.809999999994,0.0,-6272.809999999994,fast_below_slow
DEMO.US,long,2024-05-14,09:30:00,2024-09-26,09:30:00,313.28000000000003,300.64,323.0,-4082.720000000014,0.0,-4082.720000000014,fast_below_slow
DEMO.US,long,2024-12-03,09:30:00,2025-03-21,09:30:00,321.45,316.87,301.0,-1378.5799999999952,0.0,-1378.5799999999952,fast_below_slow
DEMO.US,long,2025-06-11,09:30:00,2025-12-31,09:30:00,341.38,378.49,280.0,10390.800000000003,0.0,10390.800000000003,end_of_backtest
